"Variable","Estimate","Std_Error","t_value","p_value"
"(Intercept)",1.62163577443521,0.0139228115555788,116.473297649815,0
"GenderFemale",-0.0249487844812351,0.00318076285698423,-7.84364808160824,4.4628899918444e-15
"Age",-0.00495816302167073,0.000141636612549443,-35.0062242553276,3.00909138987762e-265
"Education",0.0706680648858173,0.00160786031317943,43.9516196192916,0
"EmpType2",0.00540448812859446,0.00692844818675798,0.780043089435785,0.435369213514675
"EmpType3",0.0494010662380237,0.00386225464241116,12.7907325673336,2.11523740641527e-37
"EmpType4",-0.013025179492134,0.00630173387055945,-2.06691995563082,0.0387468436489582
"PH_centered",0.00878171333784651,0.00127264267485525,6.90037628892597,5.24820305639994e-12
"WE_centered",-0.00340588876654581,0.00206282034180811,-1.65108356627919,0.098727806838213
"PH_x_WE",-0.0106116785482579,0.00163556780055853,-6.48807010301506,8.77545145952949e-11
